period,stateid,stateDescription,sectorid,sectorName,price,price-units
2022-09,WA,Washington,RES,residential,10.57,cents per kilowatthour
2022-09,WA,Washington,TRA,transportation,10.32,cents per kilowatthour
2022-09,WA,Washington,ALL,all sectors,9.12,cents per kilowatthour
2022-09,WA,Washington,COM,commercial,9.51,cents per kilowatthour
2022-09,WA,Washington,IND,industrial,6.59,cents per kilowatthour
2022-09,WA,Washington,OTH,other,,cents per kilowatthour
2022-09,WA,Washington,RES,residential,10.57,cents per kilowatthour
2022-09,WA,Washington,TRA,transportation,10.32,cents per kilowatthour
2022-10,WA,Washington,ALL,all sectors,9.16,cents per kilowatthour
2022-10,WA,Washington,COM,commercial,9.81,cents per kilowatthour
2022-10,WA,Washington,IND,industrial,6.22,cents per kilowatthour
2022-10,WA,Washington,OTH,other,,cents per kilowatthour
2022-10,WA,Washington,RES,residential,10.59,cents per kilowatthour
2022-10,WA,Washington,TRA,transportation,10.16,cents per kilowatthour
2022-10,WA,Washington,ALL,all sectors,9.16,cents per kilowatthour
2022-10,WA,Washington,TRA,transportation,10.16,cents per kilowatthour
2022-10,WA,Washington,RES,residential,10.59,cents per kilowatthour
2022-10,WA,Washington,OTH,other,,cents per kilowatthour
2022-10,WA,Washington,IND,industrial,6.22,cents per kilowatthour
2022-10,WA,Washington,COM,commercial,9.81,cents per kilowatthour
2022-11,WA,Washington,ALL,all sectors,9.1,cents per kilowatthour
2022-11,WA,Washington,COM,commercial,9.47,cents per kilowatthour
2022-11,WA,Washington,IND,industrial,6.04,cents per kilowatthour
2022-11,WA,Washington,OTH,other,,cents per kilowatthour
2022-11,WA,Washington,RES,residential,10.32,cents per kilowatthour
2022-11,WA,Washington,TRA,transportation,10.08,cents per kilowatthour
2022-11,WA,Washington,ALL,all sectors,9.1,cents per kilowatthour
2022-11,WA,Washington,TRA,transportation,10.08,cents per kilowatthour
2022-11,WA,Washington,RES,residential,10.32,cents per kilowatthour
2022-11,WA,Washington,OTH,other,,cents per kilowatthour
2022-11,WA,Washington,IND,industrial,6.04,cents per kilowatthour
2022-11,WA,Washington,COM,commercial,9.47,cents per kilowatthour
2022-12,WA,Washington,ALL,all sectors,9.34,cents per kilowatthour
2022-12,WA,Washington,COM,commercial,9.63,cents per kilowatthour
2022-12,WA,Washington,IND,industrial,7.07,cents per kilowatthour
2022-12,WA,Washington,OTH,other,,cents per kilowatthour
2022-12,WA,Washington,RES,residential,10.03,cents per kilowatthour
2022-12,WA,Washington,TRA,transportation,10.02,cents per kilowatthour
2022-12,WA,Washington,ALL,all sectors,9.34,cents per kilowatthour
2022-12,WA,Washington,TRA,transportation,10.02,cents per kilowatthour
2022-12,WA,Washington,RES,residential,10.03,cents per kilowatthour
2022-12,WA,Washington,OTH,other,,cents per kilowatthour
2022-12,WA,Washington,IND,industrial,7.07,cents per kilowatthour
2022-12,WA,Washington,COM,commercial,9.63,cents per kilowatthour
2023-01,WA,Washington,ALL,all sectors,9.57,cents per kilowatthour
2023-01,WA,Washington,COM,commercial,10.13,cents per kilowatthour
2023-01,WA,Washington,IND,industrial,6.41,cents per kilowatthour
2023-01,WA,Washington,OTH,other,,cents per kilowatthour
2023-01,WA,Washington,RES,residential,10.48,cents per kilowatthour
2023-01,WA,Washington,TRA,transportation,10.21,cents per kilowatthour
2023-01,WA,Washington,ALL,all sectors,9.57,cents per kilowatthour
2023-01,WA,Washington,TRA,transportation,10.21,cents per kilowatthour
2023-01,WA,Washington,RES,residential,10.48,cents per kilowatthour
2023-01,WA,Washington,OTH,other,,cents per kilowatthour
2023-01,WA,Washington,IND,industrial,6.41,cents per kilowatthour
2023-01,WA,Washington,COM,commercial,10.13,cents per kilowatthour
2023-02,WA,Washington,ALL,all sectors,9.65,cents per kilowatthour
2023-02,WA,Washington,COM,commercial,10.12,cents per kilowatthour
2023-02,WA,Washington,IND,industrial,6.44,cents per kilowatthour
2023-02,WA,Washington,OTH,other,,cents per kilowatthour
2023-02,WA,Washington,RES,residential,10.7,cents per kilowatthour
2023-02,WA,Washington,TRA,transportation,10.72,cents per kilowatthour
2023-02,WA,Washington,ALL,all sectors,9.65,cents per kilowatthour
2023-02,WA,Washington,COM,commercial,10.12,cents per kilowatthour
2023-02,WA,Washington,IND,industrial,6.44,cents per kilowatthour
2023-02,WA,Washington,OTH,other,,cents per kilowatthour
2023-02,WA,Washington,RES,residential,10.7,cents per kilowatthour
2023-02,WA,Washington,TRA,transportation,10.72,cents per kilowatthour
2023-03,WA,Washington,ALL,all sectors,9.68,cents per kilowatthour
2023-03,WA,Washington,COM,commercial,10.24,cents per kilowatthour
2023-03,WA,Washington,IND,industrial,6.35,cents per kilowatthour
2023-03,WA,Washington,OTH,other,,cents per kilowatthour
2023-03,WA,Washington,RES,residential,10.8,cents per kilowatthour
2023-03,WA,Washington,TRA,transportation,10.85,cents per kilowatthour
2023-03,WA,Washington,ALL,all sectors,9.68,cents per kilowatthour
2023-03,WA,Washington,COM,commercial,10.24,cents per kilowatthour
2023-03,WA,Washington,IND,industrial,6.35,cents per kilowatthour
2023-03,WA,Washington,OTH,other,,cents per kilowatthour
2023-03,WA,Washington,RES,residential,10.8,cents per kilowatthour
2023-03,WA,Washington,TRA,transportation,10.85,cents per kilowatthour
2023-04,WA,Washington,ALL,all sectors,9.68,cents per kilowatthour
2023-04,WA,Washington,COM,commercial,10.05,cents per kilowatthour
2023-04,WA,Washington,IND,industrial,6.49,cents per kilowatthour
2023-04,WA,Washington,OTH,other,,cents per kilowatthour
2023-04,WA,Washington,RES,residential,10.96,cents per kilowatthour
2023-04,WA,Washington,TRA,transportation,10.38,cents per kilowatthour
2023-04,WA,Washington,ALL,all sectors,9.68,cents per kilowatthour
2023-04,WA,Washington,TRA,transportation,10.38,cents per kilowatthour
2023-04,WA,Washington,RES,residential,10.96,cents per kilowatthour
2023-04,WA,Washington,OTH,other,,cents per kilowatthour
2023-04,WA,Washington,IND,industrial,6.49,cents per kilowatthour
2023-04,WA,Washington,COM,commercial,10.05,cents per kilowatthour
2023-05,WA,Washington,ALL,all sectors,9.39,cents per kilowatthour
2023-05,WA,Washington,COM,commercial,9.94,cents per kilowatthour
2023-05,WA,Washington,IND,industrial,5.79,cents per kilowatthour
2023-05,WA,Washington,OTH,other,,cents per kilowatthour
2023-05,WA,Washington,RES,residential,11.18,cents per kilowatthour
2023-05,WA,Washington,TRA,transportation,10.42,cents per kilowatthour
2023-05,WA,Washington,ALL,all sectors,9.39,cents per kilowatthour
2023-05,WA,Washington,TRA,transportation,10.42,cents per kilowatthour
2023-05,WA,Washington,RES,residential,11.18,cents per kilowatthour
2023-05,WA,Washington,OTH,other,,cents per kilowatthour
2023-05,WA,Washington,IND,industrial,5.79,cents per kilowatthour
2023-05,WA,Washington,COM,commercial,9.94,cents per kilowatthour
2023-06,WA,Washington,ALL,all sectors,9.36,cents per kilowatthour
2023-06,WA,Washington,COM,commercial,9.86,cents per kilowatthour
2023-06,WA,Washington,IND,industrial,6.07,cents per kilowatthour
2023-06,WA,Washington,OTH,other,,cents per kilowatthour
2023-06,WA,Washington,RES,residential,11.21,cents per kilowatthour
2023-06,WA,Washington,TRA,transportation,10.14,cents per kilowatthour
2023-06,WA,Washington,ALL,all sectors,9.36,cents per kilowatthour
2023-06,WA,Washington,COM,commercial,9.86,cents per kilowatthour
2023-06,WA,Washington,IND,industrial,6.07,cents per kilowatthour
2023-06,WA,Washington,OTH,other,,cents per kilowatthour
2023-06,WA,Washington,RES,residential,11.21,cents per kilowatthour
2023-06,WA,Washington,TRA,transportation,10.14,cents per kilowatthour
2023-07,WA,Washington,ALL,all sectors,9.49,cents per kilowatthour
2023-07,WA,Washington,COM,commercial,9.88,cents per kilowatthour
2023-07,WA,Washington,IND,industrial,6.38,cents per kilowatthour
2023-07,WA,Washington,OTH,other,,cents per kilowatthour
2023-07,WA,Washington,RES,residential,11.16,cents per kilowatthour
2023-07,WA,Washington,TRA,transportation,10.07,cents per kilowatthour
2023-07,WA,Washington,ALL,all sectors,9.49,cents per kilowatthour
2023-07,WA,Washington,COM,commercial,9.88,cents per kilowatthour
2023-07,WA,Washington,TRA,transportation,10.07,cents per kilowatthour
2023-07,WA,Washington,OTH,other,,cents per kilowatthour
2023-07,WA,Washington,RES,residential,11.16,cents per kilowatthour
2023-07,WA,Washington,IND,industrial,6.38,cents per kilowatthour
